date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1872-11-30,Scotland,England,0,0,Friendly,Glasgow,Scotland,FALSE
1873-03-08,England,Scotland,4,2,Friendly,London,England,FALSE
1874-03-07,Scotland,England,2,1,Friendly,Glasgow,Scotland,FALSE
1875-03-06,England,Scotland,2,2,Friendly,London,England,FALSE
1876-03-04,Scotland,England,3,0,Friendly,Glasgow,Scotland,FALSE
1876-03-25,Scotland,Wales,4,0,Friendly,Glasgow,Scotland,FALSE
2024-07-09,Spain,France,2,1,UEFA Euro,Munich,Germany,TRUE
2024-07-09,Argentina,Canada,2,0,Copa América,East Rutherford,United States,TRUE
2024-07-10,Netherlands,England,1,2,UEFA Euro,Dortmund,Germany,TRUE
2024-07-10,Uruguay,Colombia,0,1,Copa América,Charlotte,United States,TRUE
2024-07-13,Canada,Uruguay,2,2,Copa América,Charlotte,United States,TRUE
2024-07-14,Spain,England,2,1,UEFA Euro,Berlin,Germany,TRUE
2024-07-14,Argentina,Colombia,1,0,Copa América,Miami Gardens,United States,TRUE
2026-07-10,Spain,Belgium,,,FIFA World Cup,Inglewood,United States,TRUE
2026-07-11,Norway,England,,,FIFA World Cup,Miami Gardens,United States,TRUE
2026-07-11,Argentina,Switzerland,,,FIFA World Cup,Kansas City,United States,TRUE
